FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
120722;1900;;;331,7
120722;2000;;;319,6
120722;2100;;;277,1
120722;2200;;;126,8
120722;2300;;;842,998
120723;0;;;52,59
120723;100;;;115,3
120723;200;;;40,46
120723;300;;;664,198
120723;400;;;29,67
120723;500;;;29,67
120723;600;;;30,01
120723;700;;;20,23
120723;800;;;31,02
120723;900;;;46,52
120723;1000;;;47,2
120723;1100;;;36,41
120723;1200;;;755,099
120723;1300;;;674,198
120723;1400;;;100,5
120723;1500;;;140,9
120723;1600;;;180
120723;1700;;;220,5
120723;1800;;;240,7
120723;1900;;;176
120723;2000;;;221,8
120723;2100;;;153,7
120723;2200;;;273
120723;2300;;;406,5
120724;0;;;236,6
120724;100;;;170,6
120724;200;;;175,3
120724;300;;;35,73
120724;400;;;28,32
120724;500;;;18,2
120724;600;;;15,51
120724;700;;;8,09
120724;800;;;876,999
120724;900;;;17,53
120724;1000;;;15,51
120724;1100;;;21,58
120724;1200;;;25,63
120724;1300;;;21,58
120724;1400;;;14,83
120724;1500;;;15,51
120724;1600;;;14,83
120724;1700;;;26,97
120724;1800;;;653,999
120724;1900;;;176
120724;2000;;;203,6
120724;2100;;;205,7
120724;2200;;;87,7
120724;2300;;;31,02
120725;0;;;17,53
120725;100;;;10,79
120725;200;;;10,79
120725;300;;;14,84
120725;400;;;10,79
120725;500;;;16,19
120725;600;;;12,81
120725;700;;;16,86
120725;800;;;21,58
120725;900;;;23,61
120725;1000;;;23,61
120725;1100;;;32,04
120725;1200;;;37,1
120725;1300;;;24,28
120725;1400;;;23,6
120725;1500;;;22,25
120725;1600;;;1000
120725;1700;;;28,99
120725;1800;;;116,6
120725;1900;;;125,4
120725;2000;;;119,4
120725;2100;;;184,8
120725;2200;;;207,7
120725;2300;;;271,1
120726;0;;;313
120726;100;;;147,7
120726;200;;;116,7
120726;300;;;122,7
120726;400;;;130,2
120726;500;;;701,399
120726;600;;;116
120726;700;;;108,6
120726;800;;;151
120726;900;;;42,48
120726;1000;;;25,28
120726;1100;;;20,23
120726;1200;;;20,9
120726;1300;;;19,55
120726;1400;;;19,55
120726;1500;;;22,92
120726;1600;;;24,95
120726;1700;;;42,47
120726;1800;;;80,2
120726;1900;;;93
120726;2000;;;101,8
120726;2100;;;83
120726;2200;;;132,9
120726;2300;;;120,7
120727;0;;;143
120727;100;;;170
120727;200;;;143
120727;300;;;122,8
120727;400;;;903,999
120727;500;;;16,19
120727;600;;;14,16
120727;700;;;12,14
120727;800;;;19,55
120727;900;;;22,25
120727;1000;;;18,2
120727;1100;;;26,97
120727;1200;;;28,99
120727;1300;;;30,34
120727;1400;;;24,27
120727;1500;;;32,35
120727;1600;;;28,31
120727;1700;;;43,15
120727;1800;;;62,03
120727;1900;;;172,6
